"ID PAGO","FECHA CREACION",USUARIO,EMPRESA,BANCO,IMPORTE,REFERENCIA,"FECHA DEPOSITO"
1,"2023-08-21 11:08",SysAdminUser,"100% PIEL","ABC CAPITAL",102.2345,ed827-0bb16-8aacc,2023-08-05
2,"2023-08-21 11:08",SysAdminUser,"100% PIEL","ABC CAPITAL",105,789,2023-08-21
3,"2023-08-22 12:08",SysAdminUser,"100% PIEL",ACTINVER,105,ed827-0bb16-8aacc,2023-08-14
15,"2023-08-24 01:08",SysAdminUser,"100% PIEL",AFIRME,105,1124,2023-08-21
21,"2023-08-25 11:08",SysAdminUser,"100% PIEL","ABC CAPITAL",100,1234,2023-08-25
23,"2023-08-28 10:08",SysAdminUser,"100% PIEL",MULTIVA,105,1,2023-08-23
25,"2023-08-28 10:08","Ivon Castillo","100% PIEL",SCOTIABANK,105,1,2023-08-28
27,"2023-08-28 10:08","Ivon Castillo","100% PIEL",AFIRME,105,1,2023-08-28
33,"2023-09-08 11:09","Ivon Castillo","100% PIEL",SCOTIABANK,1000,8aacc,2023-09-07
34,"2023-09-09 09:09","Ivon Castillo","100% PIEL",SANTANDER,1000,ed827,2023-09-09
